Initial condition - time 0.0 - no actions  
moveS 1 Spatial x ([3, 0],[4, 0]) x 
moveS 1 Spatial x ([8, 4],[8, 3]) x 
moveS 1 Spatial x ([2, 4],[2, 5]) x 
moveS 1 Spatial x ([0, 7],[0, 6]) x 
moveI 1 Spatial x ([6, 6],[6, 7]) x 
moveS 1 Spatial x ([3, 6],[4, 6]) x 
moveS 1 Spatial x ([6, 2],[6, 3]) x 
moveS 1 Spatial x ([2, 6],[2, 7]) x 
moveS 1 Spatial x ([3, 2],[2, 2]) x 
moveI 1 Spatial x ([5, 8],[6, 8]) x 
contact 2 State State [6, 4] [6, 4] 
moveS 1 Spatial x ([4, 4],[4, 5]) x 
moveS 1 Spatial x ([4, 0],[3, 0]) x 
moveS 1 Spatial x ([3, 2],[3, 3]) x 
moveS 1 Spatial x ([7, 5],[8, 5]) x 
contact 2 State State [5, 1] [5, 1] 
moveS 1 Spatial x ([5, 7],[4, 7]) x 
moveS 1 Spatial x ([0, 3],[1, 3]) x 
contact 2 State State [1, 7] [1, 7] 
moveS 1 Spatial x ([0, 2],[0, 1]) x 
contact 2 State State [3, 6] [3, 6] 
moveS 1 Spatial x ([9, 3],[9, 2]) x 
moveS 1 Spatial x ([2, 1],[1, 1]) x 
contact 2 State State [5, 1] [5, 1] 
moveS 1 Spatial x ([4, 0],[3, 0]) x 
contact 2 State State [3, 1] [3, 1] 
moveS 1 Spatial x ([8, 8],[7, 8]) x 
contact 2 State State [0, 8] [0, 8] 
moveS 1 Spatial x ([5, 8],[5, 7]) x 
contact 2 State State [0, 3] [0, 3] 
moveS 1 Spatial x ([0, 5],[0, 6]) x 
contact 2 State State [7, 9] [7, 9] 
moveS 1 Spatial x ([3, 8],[2, 8]) x 
moveS 1 Spatial x ([2, 8],[2, 7]) x 
recover 1 State x [9, 0] x 
contact 2 State State [2, 7] [2, 7] 
moveS 1 Spatial x ([8, 6],[8, 7]) x 
contact 2 State State [3, 9] [3, 9] 
contact 2 State State [3, 5] [3, 5] 
contact 2 State State [7, 9] [7, 9] 
moveI 1 Spatial x ([0, 1],[0, 2]) x 
contact 2 State State [6, 4] [6, 4] 
contact 2 State State [1, 3] [1, 3] 
moveS 1 Spatial x ([0, 8],[1, 8]) x 
contact 2 State State [3, 0] [3, 0] 
contact 2 State State [6, 5] [6, 5] 
contact 2 State State [9, 5] [9, 5] 
contact 2 State State [5, 3] [5, 3] 
moveS 1 Spatial x ([3, 8],[3, 9]) x 
contact 2 State State [1, 1] [1, 1] 
contact 2 State State [1, 3] [1, 3] 
contact 2 State State [5, 7] [5, 7] 
moveS 1 Spatial x ([8, 9],[9, 9]) x 
contact 2 State State [4, 5] [4, 5] 
